11:04:25   Function:->Init is true   
11:04:25   msbar.buttons(1).Key   add
11:04:25   msbar.buttons(1).Caption   增加
11:04:25   msbar.buttons(2).Key   print
11:04:25   msbar.buttons(2).Caption   打印
11:04:25   msbar.buttons(3).Key   modify
11:04:25   msbar.buttons(3).Caption   修改
11:04:25   msbar.buttons(4).Key   preview
11:04:25   msbar.buttons(4).Caption   预览
11:04:25   msbar.buttons(5).Key   delete
11:04:25   msbar.buttons(5).Caption   删除
11:04:25   msbar.buttons(6).Key   output
11:04:25   msbar.buttons(6).Caption   输出
11:04:25   msbar.buttons(7).Key   outputandemail
11:04:25   msbar.buttons(7).Caption   邮件
11:04:25   msbar.buttons(8).Key   refervouch
11:04:25   msbar.buttons(8).Caption   生单
11:04:25   msbar.buttons(9).Key   tofirst
11:04:25   msbar.buttons(9).Caption   首张
11:04:25   msbar.buttons(10).Key   copy
11:04:25   msbar.buttons(10).Caption   复制
11:04:25   msbar.buttons(11).Key   toprevious
11:04:25   msbar.buttons(11).Caption   上张
11:04:25   msbar.buttons(12).Key   tonext
11:04:25   msbar.buttons(12).Caption   下张
11:04:25   msbar.buttons(13).Key   draft
11:04:25   msbar.buttons(13).Caption   草稿
11:04:25   msbar.buttons(14).Key   tolast
11:04:25   msbar.buttons(14).Caption   末张
11:04:25   msbar.buttons(15).Key   release
11:04:25   msbar.buttons(15).Caption   释放
11:04:25   msbar.buttons(16).Key   template
11:04:25   msbar.buttons(16).Caption   模板
11:04:25   msbar.buttons(17).Key   save
11:04:25   msbar.buttons(17).Caption   保存
11:04:25   msbar.buttons(18).Key   _CUSTDEFbtntest
11:04:25   msbar.buttons(18).Caption   测试
11:04:25   msbar.buttons(19).Key   cancel
11:04:25   msbar.buttons(19).Caption   放弃
11:04:25   msbar.buttons(20).Key   resubmit
11:04:25   msbar.buttons(20).Caption   重新提交
11:04:25   msbar.buttons(21).Key   submit
11:04:25   msbar.buttons(21).Caption   提交
11:04:25   msbar.buttons(22).Key   unsubmit
11:04:25   msbar.buttons(22).Caption   撤销
11:04:25   msbar.buttons(23).Key   verify
11:04:25   msbar.buttons(23).Caption   审核
11:04:25   msbar.buttons(24).Key   unverify
11:04:25   msbar.buttons(24).Caption   弃审
11:04:25   msbar.buttons(25).Key   viewverify
11:04:25   msbar.buttons(25).Caption   查审
11:04:25   msbar.buttons(26).Key   closeorder
11:04:25   msbar.buttons(26).Caption   关闭
11:04:25   msbar.buttons(27).Key   openorder
11:04:25   msbar.buttons(27).Caption   打开
11:04:25   msbar.buttons(28).Key   lock
11:04:25   msbar.buttons(28).Caption   锁定
11:04:25   msbar.buttons(29).Key   checkstock
11:04:25   msbar.buttons(29).Caption   可用量
11:04:25   msbar.buttons(30).Key   unlock
11:04:25   msbar.buttons(30).Caption   解锁
11:04:25   msbar.buttons(31).Key   changeorder
11:04:25   msbar.buttons(31).Caption   变更
11:04:25   msbar.buttons(32).Key   addline
11:04:25   msbar.buttons(32).Caption   增行
11:04:25   msbar.buttons(33).Key   delline
11:04:25   msbar.buttons(33).Caption   删行
11:04:25   msbar.buttons(34).Key   insertline
11:04:25   msbar.buttons(34).Caption   插行
11:04:25   msbar.buttons(35).Key   fetchprice
11:04:25   msbar.buttons(35).Caption   取价
11:04:25   msbar.buttons(36).Key   attached
11:04:25   msbar.buttons(36).Caption   附件
11:04:25   msbar.buttons(37).Key   formatsetup
11:04:25   msbar.buttons(37).Caption   格式设置
11:04:25   msbar.buttons(38).Key   savelayout
11:04:25   msbar.buttons(38).Caption   保存布局
11:04:25   msbar.buttons(39).Key   pricehistory
11:04:25   msbar.buttons(39).Caption   价格
11:04:25   msbar.buttons(40).Key   locate
11:04:25   msbar.buttons(40).Caption   定位
11:04:25   msbar.buttons(41).Key   refresh
11:04:25   msbar.buttons(41).Caption   刷新
11:04:25   msbar.buttons(42).Key   billrelation
11:04:25   msbar.buttons(42).Caption   关联查询
11:04:25   msbar.buttons(43).Key   help
11:04:25   msbar.buttons(43).Caption   帮助
